=== MATCH START ===
turn=1 active=P2 phase=MAIN result=ONGOING
P1 leader_hp=12 | P2 leader_hp=9
T1 P2 MAIN | 귤 요정 소환 -> 6A
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 폰#3@6A(1/1); P2 군주@6D(9/9) | note=random_step=0
T1 P2 MAIN | 귤 요정 소환 -> 6B
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 군주@6D(9/9) | note=random_step=1
T1 P2 MAIN | P2 군주 이동 -> 5C
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 군주@5C(9/9) | note=random_step=2
T1 P2 MAIN | 귤 공주님 사용 | 대상=P2 폰#3
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 군주@5C(9/9) | note=random_step=3
T1 P2 MAIN | 귤 직장인? 소환 -> 6C
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@6C(4/4); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 군주@5C(9/9) | note=random_step=4
T1 P2 MAIN | 귤 나무 소환 -> 6E
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@6C(4/4); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 룩@6E(3/3); P2 군주@5C(9/9) | note=random_step=5
T1 P2 MAIN | P2 룩 이동 -> 6F
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@6C(4/4); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=6
T1 P2 MAIN | P2 비숍 이동 -> 4A
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@4A(4/4); P2 폰#2@6B(1/1); P2 폰#3@6A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=7
T1 P2 MAIN | P2 폰#3 이동 -> 5A
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@4A(4/4); P2 폰#2@6B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=8
T1 P2 MAIN | P2 폰#2 이동 -> 5B
    -> result=ONGOING P1_HP=12 P2_HP=9 board=P1 군주@1C(12/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=9
T1 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=11 P2_HP=9 board=P1 군주@1C(11/12); P2 비숍@4A(4/4); P2 폰#2@5B(1/1); P2 폰#3@5A(1/1); P2 룩@6F(3/3); P2 군주@5C(9/9) | note=random_step=10
T2 P1 MAIN | Pawn 소환 -> 1B
